project_name,filename,filepath,commit_id,parent_commit,#different_loc
Hystrix,EventStreamEnum.java,hystrix-contrib/hystrix-reactivesocket-event-stream/src/main/java/com/netflix/hystrix/contrib/reactivesocket/EventStreamEnum.java,b4e3ef8675,b6ae642ed2,36
Hystrix,EventStreamTest.java,hystrix-contrib/hystrix-reactivesocket-event-stream/src/test/java/com/netflix/hystrix/contrib/reactivesocket/EventStreamTest.java,185ac34cb2,d5c1203617,48
Hystrix,ExceptionThreadingUtility.java,hystrix-core/src/main/java/com/netflix/hystrix/util/ExceptionThreadingUtility.java,1f60aaec65,0e2fca8492,11
Hystrix,FallbackMethod.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/FallbackMethod.java,13b4cde2a2,c3a2282bb6,53
Hystrix,FallbackMethod.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/FallbackMethod.java,3f3795c8a6,d3c65c7489,131
Hystrix,HealthCountsStream.java,hystrix-core/src/main/java/com/netflix/hystrix/metric/HealthCountsStream.java,11550a13d9,69151a2f3f,45
Hystrix,HealthCountsStream.java,hystrix-core/src/main/java/com/netflix/hystrix/metric/HealthCountsStream.java,6aacadc0dc,37a1695a1e,30
Hystrix,HealthCountsStreamTest.java,hystrix-core/src/test/java/com/netflix/hystrix/metric/HealthCountsStreamTest.java,ade2b66afd,eb2ede5d80,516
Hystrix,HystrixCachedObservable.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCachedObservable.java,36bfd70bba,b63fdf63b5,5
Hystrix,HystrixCircuitBreaker.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCircuitBreaker.java,c9241ac1a4,1722d692fd,108
Hystrix,HystrixCircuitBreakerTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCircuitBreakerTest.java,fa4b7e2c1e,745eeaa123,191
Hystrix,HystrixCollapser.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/annotation/HystrixCollapser.java,0a7545b6c9,ce69ad520e,16
Hystrix,HystrixCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java,2ae4493350,d4f992a359,1013
Hystrix,HystrixCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java,32bd26e54f,dccd322230,438
Hystrix,HystrixCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java,490c10e8d4,2cb369d63f,969
Hystrix,HystrixCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java,620db7719a,447095fb9a,466
Hystrix,HystrixCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java,6df70a191b,91244ed82c,1
Hystrix,HystrixCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java,a1732c2f2a,9916537922,956
Hystrix,HystrixCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java,c51bd7ef07,e346830f04,54
Hystrix,HystrixCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapser.java,da69311c77,783867cba9,1013
Hystrix,HystrixCollapserMetrics.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCollapserMetrics.java,fd71da55eb,5270f4b5cc,10
Hystrix,HystrixCollapserTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCollapserTest.java,1c27b126b3,9b035b4173,21
Hystrix,HystrixCollapserTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCollapserTest.java,857b13b028,9a487363e2,21
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,09f2c231db,ad80b7a289,6278
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,2ae4493350,d4f992a359,1879
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,545ee7633e,9f8c742245,75
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,5cdbf70c43,d941347290,12
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,6da5d760f8,ad06ecd0b1,6356
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,7b046ca96b,8077bcb535,31
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,a300d93ac0,52104a88a4,1755
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,c51bd7ef07,e346830f04,1706
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,cb9a95385f,999e7d37ec,6977
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,d31dc2d21b,1eb528e926,196
