Year,Journal / Conference Name,Title,Command,Study,Focus of git commands,Purpose of mining git,Data source,,,,,,,,,,,,,,,,,,
2016,ICSE,A study of the quality-impacting practices of modern code review at Sony mobile,git log,investigating the impact of code review on the quality of a proprietary system,code changes,collect metrics,Industry,,,,,,,,,,,,,,,,,,
2016,ICSE,On the “Naturalness” of Buggy Code,"git diff, blame (szz)",investigating buggy codes,code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2017,ICSE,Learning syntactic program transformations from examples,diff,building automatic learning program transformation,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2013,ICSME,LHDiff: A Language-Independent Hybrid Approach for Tracking Source Code Lines,unix diff,"propose a language-independent technique, LHDiff, for tracking source code lines across versions that leverages simhash technique together with heuristics to improve accuracy.",code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2014,ICSME,On the Effectiveness of Information Retrieval Based Bug Localization for C Programs,git show -U0,performing a large-scale experiment to investigate the efficiency of IR-based bug localization for C systems,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2015,ICSME,Investigating Code Review Quality: Do People and Participation Matter?,"git diff, blame (szz)","investigating code review quality for Mozilla, a large open-source project",code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2015,ICSME,Modeling Changeset Topics for Feature Location,git diff,presenting a historical simulation that demonstrates how the FLT performs as a project evolves,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2016,ICSME,An Empirical Study on the Characteristics of Python Fine-Grained Source Code Change Types,git diff,investigating the characteristic of change types about dynamic software source code,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2017,ICSME,A Characterization Study of Repeated Bug Fixes,git diff,"studying 341,856 bug fixes from 3 open source projects to investigate repeated fixes in terms of their frequency, edit locations, and semantic meanings",code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2017,ICSME,How Long and How Much: What to Expect from Summer of Code Participants?,git log,"investigating different aspects of students’ contribution, including number of commits, code churn, and contribution date intervals",code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2017,ISSTA,GitcProc: a tool for processing and classifying GitHub commits,git log –date=short –no-merges -U99999 –function-context –extensions,"propose GitcProc, a lightweight tool based on regular expressions and source code blocks, which downloads projects and extracts their project history, including fine-grained source code information and development time bug fixes",code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2013,MSR,Linux variability anomalies: what causes them and how do they get fixed?,diff,analyzing the causes and fixes of variability anomalies in Linux,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2015,MSR,The uniqueness of changes: characteristics and applications,git log -w --unified=5 and gnu-diff,investigating unique and non-unique changes,code changes,get patches,OSS and Industry,,,,,,,,,,,,,,,,,,
2015,MSR,Will they like this? Evaluating Code Contributions With Language Models,git diff,evaluating the influence of stylistic properties of submitted code on both the process and the outcome of code review,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2016,MSR,GreenOracle: Estimating Software Energy Consumption with Energy Measurement Corpora,git diff,developing an accurate and simple resource count-based energy prediction model (GreenOracle),code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2016,MSR,Logging library migrations: a case study for the apache software foundation projects,git diff,studying logging library migrations within Apache Software Foundation (ASF) projects,code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2017,MSR,An Empirical Analysis of Build Failures in the Continuous Integration Workflows of Java-Based Open-Source Software,git,studying empirically CI build failures in 14 Java-based OSS projects,code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2017,MSR,An Empirical Study on Android-related Vulnerabilities,"git diff, blame (szz)","studying date investigating Android-related vulnerabilities, with a specific focus on the ones affecting the Android OS",code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2017,OOPSLA,Evaluating and improving semistructured merge,git merge,"reproduce more than 30,000 merges from 50 open source projects, identifying conflicts incorrectly reported by one approach but not by the other (false positives), and conflicts correctly reported by one approach but missed by the other (false negatives)",code changes,investigate merges,OSS,,,,,,,,,,,,,,,,,,
2015,TSE,The ManyBugs and IntroClass Benchmarks for Automated Repair of C Programs,diff command,"proposing new benchmark programs with reproducible, important defects and a deterministic method for assessing if those defects have been repaired",code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2017,TSE,A Framework for Evaluating the Results of the SZZ Approach for Identifying Bug-Introducing Changes,"git diff, blame (szz)",proposing a framework to evaluate the results of alternative SZZ implementations,code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
