project_name,filename,filepath,commit_id,parent_commit,#different_loc
WordPress Android,SingleLineListFragment.java,src/org/wordpress/android/ui/notifications/SingleLineListFragment.java,257fe4e275,ca80358922,32
WordPress Android,SitePickerActivity.java,WordPress/src/main/java/org/wordpress/android/ui/SitePickerActivity.java,affb16f699,1fed16ab64,13
WordPress Android,StatsBarGraphFragment.java,WordPress/src/main/java/org/wordpress/android/ui/stats/StatsBarGraphFragment.java,88921b4d33,2daa6273c1,98
WordPress Android,StatsReferrersFragment.java,WordPress/src/main/java/org/wordpress/android/ui/stats/StatsReferrersFragment.java,8537872035,2593ce8fca,15
WordPress Android,StatsReferrersFragment.java,WordPress/src/main/java/org/wordpress/android/ui/stats/StatsReferrersFragment.java,966863a194,17cd5cd483,176
WordPress Android,StatsService.java,WordPress/src/main/java/org/wordpress/android/ui/stats/service/StatsService.java,0716acbc3a,db3699b6c3,15
WordPress Android,StatsService.java,WordPress/src/main/java/org/wordpress/android/ui/stats/service/StatsService.java,3c2109b599,f68587e29d,348
WordPress Android,StatsTagsAndCategoriesFragment.java,WordPress/src/main/java/org/wordpress/android/ui/stats/StatsTagsAndCategoriesFragment.java,9303a8c6b8,6502064592,253
WordPress Android,StatsVisitorsAndViewsFragment.java,WordPress/src/main/java/org/wordpress/android/ui/stats/StatsVisitorsAndViewsFragment.java,2bc3e44f08,f872216a40,167
WordPress Android,ThemeBrowserActivity.java,WordPress/src/main/java/org/wordpress/android/ui/themes/ThemeBrowserActivity.java,63d4f695a8,9a27aec56a,260
WordPress Android,ThemeSearchFragment.java,WordPress/src/main/java/org/wordpress/android/ui/themes/ThemeSearchFragment.java,089118bf50,b604361431,35
WordPress Android,UploadService.java,WordPress/src/main/java/org/wordpress/android/ui/uploads/UploadService.java,c5d0fff907,446cd39bda,12
WordPress Android,WordPressDB.java,src/org/wordpress/android/WordPressDB.java,45da180b30,c0beae0b00,15
WordPress Android,WordPressDB.java,src/org/wordpress/android/WordPressDB.java,76db30d885,ae76461dc9,46
WordPress Android,WordPressDB.java,WordPress/src/main/java/org/wordpress/android/WordPressDB.java,7ab1c3e772,e16e0d9560,84
WordPress Android,WordPressMediaUtils.java,WordPress/src/main/java/org/wordpress/android/ui/media/WordPressMediaUtils.java,4ac632d4b5,613f103a2a,95
WordPress Android,build.gradle,WordPress/build.gradle,1b73112a48,5045d6e14c,21
WordPress Android,build.gradle,build.gradle,96402e9c17,975e0ed40e,11
WordPress Android,build.gradle,build.gradle,afec115e1a,aef1f28f08,162
WordPress Android,comment_detail_fragment.xml,res/layout/comment_detail_fragment.xml,e3c03f9430,8149919bce,117
WordPress Android,editPost.java,src/org/wordpress/android/editPost.java,d4d7798feb,43ba7b5b0d,7
WordPress Android,media_settings_activity.xml,WordPress/src/main/res/layout/media_settings_activity.xml,d1059f57ad,0397d4a551,18
WordPress Android,moderateCommentsTab.java,src/org/wordpress/android/moderateCommentsTab.java,698ead07db,7c5905037a,88
WordPress Android,plugin_detail_activity.xml,WordPress/src/main/res/layout/plugin_detail_activity.xml,57daddc408,c9da9f34c8,61
WordPress Android,reader_blog_info_view.xml,WordPress/src/main/res/layout/reader_blog_info_view.xml,51afbc3f81,54a2e1b226,36
WordPress Android,stats_expandable_list_fragment.xml,WordPress/src/main/res/layout/stats_expandable_list_fragment.xml,62d635c537,cc2a0a8328,36
WordPress Android,stats_list_cell.xml,res/layout/stats_list_cell.xml,578f3d3dec,8395cc7547,37
WordPress Android,strings.xml,res/values-it/strings.xml,0ea63b32cc,8d30f5c30f,238
WordPress Android,strings.xml,WordPress/src/main/res/values-fr/strings.xml,1a8fa654f0,f17aa0be03,796
WordPress Android,strings.xml,WordPress/src/main/res/values-th/strings.xml,1d11fa7c50,1fb44d273f,923
WordPress Android,strings.xml,WordPress/src/main/res/values-de/strings.xml,28cea190a7,300a6dc696,857
