,project_name,filename,filepath,commit_id,parent_commit,filenumber,#different_loc
0,Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,61bb180a9d,e336976b41,308,35
1,Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,7b046ca96b,8077bcb535,2941,31
2,Hystrix,HystrixPlugins.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,0eb1589d85,ab1d2b9b75,3094,8
3,Hystrix,TypeHelper.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/TypeHelper.java,c3a2282bb6,12ad3e049f,265,4
4,Hystrix,convention.gradle,gradle/convention.gradle,05c4d0660d,61bd2b059b,3262,18
5,RxAndroid,OperatorWeakBindingTest.java,src/test/java/rx/operators/OperatorWeakBindingTest.java,4578386b39,9f49292dd5,540,40
6,SpongeAPI,ChatTypeMessageReceiver.java,src/main/java/org/spongepowered/api/text/channel/ChatTypeMessageReceiver.java,0477faf48f,880f5a9c52,1650,26
7,SpongeAPI,DamageModifierTypes.java,src/main/java/org/spongepowered/api/event/cause/entity/damage/DamageModifierTypes.java,d5f1171eb1,4ca1b25aea,254,3
8,SpongeAPI,ExtentBufferFactory.java,src/main/java/org/spongepowered/api/world/extent/ExtentBufferFactory.java,6cb5c97d25,9f1af7ee2f,698,12
9,SpongeAPI,Location.java,src/main/java/org/spongepowered/api/world/Location.java,b34549023f,db67c60b79,9845,38
10,SpongeAPI,NamedCause.java,src/main/java/org/spongepowered/api/event/cause/NamedCause.java,742093ceac,8c6067a96e,3922,7
11,SpongeAPI,WeightedItem.java,src/main/java/org/spongepowered/api/util/weighted/WeightedItem.java,7ac34cb451,b9febbf0f7,5968,2
12,WordPress Android,AztecEditorFragment.java,libs/editor/WordPressEditor/src/main/java/org/wordpress/android/editor/AztecEditorFragment.java,e117e56440,d5acd52387,10541,15
13,WordPress Android,BlogPreferencesActivity.java,WordPress/src/main/java/org/wordpress/android/ui/prefs/BlogPreferencesActivity.java,581bdbd736,ad59f5862b,29652,199
14,WordPress Android,CommentDetailFragment.java,WordPress/src/main/java/org/wordpress/android/ui/comments/CommentDetailFragment.java,9f46f667d4,ff0b90752b,41436,110
15,WordPress Android,EditPostActivity.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostActivity.java,a4f628f33c,4017094e1f,16345,87
16,WordPress Android,EditPostActivity.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostActivity.java,bac388aac9,fe5418b6a3,29927,203
17,WordPress Android,EditPostActivity.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostActivity.java,f81a064a79,4e0c5457ed,17171,904
18,WordPress Android,EditPostContentFragment.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostContentFragment.java,6a46eab728,c4016e640a,36615,19
19,WordPress Android,EditPostSettingsFragment.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostSettingsFragment.java,8a0dd62ddd,051f9dce12,13387,1533
20,WordPress Android,EditPostSettingsFragment.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostSettingsFragment.java,95180f868e,e0f4d27e05,20501,3
21,WordPress Android,Emoticons.java,src/org/wordpress/android/util/Emoticons.java,dd07730b3f,9871abad7f,48728,18
